account,descr,semen_pnlcode
"51121001","DT TP khách hàng NĐ","1"
"51123001","DT bán thành phẩm-NB","1"
"51123002","DT ban hang hoa-NB","1"
"63231101","GVHB_Heo_CP cam","2"
"63252000","GVHB-CPSX-CCDC,BT","3"
"63252100","GVHB-CPSX-CCDC,BT-Đ/C","3"
"63231106","GVHB_Heo_CPKH con giong","3"
"63254000","GVHB-CPSX-CP hơi","4"
"63231103","GVHB_Heo_CP thuoc thu y","4"
"63231104","GVHB_Heo_CP nguyen lieu khac","5"
"63231105","GVHB_Heo_CP bao bi","5"
"63231113","GVHB_Heo_CP lien quan den HTK","5"
"63281001","GVHB-Hang hoa noi dia","5"
"63231602","GVHB_TK trung gian_huy,luu mau","5"
"63251000","GVHB-CPSX-CP Lương","10"
"63251100","GVHB-CPSX-CP Lương-Đ/C","10"
"63259000","GVHB-CPSX-Feed-CP thưởng","10"
"63261140","GVHB_CPSX_Farm-Heo_Thưởng khác","10"
"63261011","GVHB_CPSX_Farm-Heo_luong CB","10"
"63255000","GVHB-CPSX-CP KH","11"
"63261015","GVHB_CPSX_Farm-Heo_CP HL&Ctac","11"
"63253000","GVHB-CPSX-CP điện","12"
"63253100","GVHB-CPSX-CP điện-Đ/C","12"
"63261018","GVHB_CPSX_Farm-Heo_CP com trua","12"
"63261020","GVHB_CPSX_Farm-Heo_CP N/luong","12"
"63261090","GVHB_CPSX_Farm-Heo_CP PT Thu Y","15"
"63219100","GVHB-Chênh lệch GVTP","15"
"63257001","GVHB-CPSX-CP khác","15"
"63257100","GVHB-CPSX-CP khác-Đ/C","15"
"63261904","GVHB-Nọc không khai thác","15"
"63213001","GVHB-Feed-Bịến động giá","15"
"63213006","GVHB-Feed-Hao hụt hàng tồn kho","15"
"63213011","GVHB-Feed-Khác","15"
"63213002","GVHB-Feed-Biến động CPMH","15"
"63261050","GVHB_CPSX_Farm-Heo_CP VTTB,Ccu","15"
"63211001","GVHB-TP Nội địa","17"
"63261041","GVHB_CPSX_Farm_CPKH MMTB,NX","11"
"63261080","GVHB_Farm_Royalty","18"
"63261081","GVHB_Farm_License","19"
"63231900","GVHB_tinhheo lưu mẫu","20"
"63231907","GVHB_tinhheo hủy","20"
"63261013","GVHB_CPSX_Farm-Heo_CP thưởng","21"
"63261130","CPGV_CPSX_Farm_CP bao ve","21"
"63261110","GVHB_CPSX_Farm-Heo_Thue trai","11"
"63231901","GVHB_tinh heo luu mau-cam","23"
"63231902","GVHB_tinh heo luu mau-KH","23"
"63231903","GVHB_tinh heo luu mau-khac","23"
"63261121","GVHB_CPSX_Farm-Heo_CP khac","15"
"63261060","GVHB_CPSX_Farm-Heo_CP Vchuyen","24"
"64122004","CPBH-YEP","33"
"64131004","CPBH-Hang hoa khuyen mai khong thu tien","34"
"64131001","CPBH-Quảng cáo","36"
"64113002","CPBH-Tro cap khac","37"
"64131009","CPBH-Hang hoa KM-KTT_NV","37"
"64180014","CPBH-Kham suc khoe","37"
"64180013","CPBH-Khong duoc tru_BHNT","37"
"64122003","CPBH-Team building","37"
"64180002","CPBH-Dong phuc","37"
"64134002","CPBH-An trua","37"
"64152100","CPBH-Dien thoai_Phuc loi","37"
"64113004","CPBH-PL tham nien","37"
"64111006","CPBH-Thue TNCN","37"
"64170001","CPBH-Vận chuyển TP","38"
"64170004","CPBH-Thuê xe nâng","38"
"64151000","CPBH-CCDC,TBVP","39"
"64152000","CPBH-Điện thoại","39"
"63231904","GVHB_tinh heo huy-cam","40"
"63231905","GVHB_tinh heo huy-KH","40"
"63231906","GVHB_tinh heo huy-khac","40"
"64261000","CPQL-Dự phòng công nợ phải thu khách hàng","42"
"64180005","CPBH-Thuế, phí, LP","43"
"64180008","CPBH-Khác","43"
"64156002","CPBH-Bảo hiểm sức khỏe","43"
"64156008","CPBH-Bảo hiểm khác","43"
"64180015","CPBH-Bản quyền HCM","43"
"64111008","CPBH-Luong CTV","43"
"64111009","CPBH-Thue TNCN_CTV","43"
"64131003","CPBH-Vật dụng KM","43"
"64180004","CPBH-Không được trừ","43"
"63261150","GVHB_CPSX_F.Heo_CP XL mtruong","15"
"64211001","CPQL-Lương căn bản","50"
"64211002","CPQL-Lương phụ cấp","50"
"64211003","CPQL-Lương tăng ca","50"
"64211004","CPQL-Lương tháng 13","50"
"64211005","CPQL-Thưởng mục tiêu","50"
"64212001","CPQL-CP BHXH","50"
"64212002","CPQL-CP BHYT","50"
"64212003","CPQL-CP BHTN","50"
"64212004","CPQL-CP KPCD","50"
"64211007","CPQL-Thưởng khác","51"
"64213001","CPQL-CP TCTV","51"
