account,subaccount,sub_act,bs_pl,allocate,mapping,bu
"64294017","1800200900","1800200900","PL","Func.Dept_Swine Group","",""
"51511000","1810200900","1810200900","PL","Func.Dept_Group South","",""
"63511000","1810200900","1810200900","PL","Func.Dept_Group South","",""
"63512000","1810200900","1810200900","PL","Func.Dept_Group South","",""
"63531000","1810200900","1810200900","PL","Func.Dept_Group South","",""
"91515000","1810200900","1810200900","PL","Func.Dept_Group South","",""
"91635000","1810200900","1810200900","PL","Func.Dept_Group South","",""
"94200800","1810200900","1810200900","PL","Func.Dept_Group South","",""
"51511000","1820200900","1820200900","PL","Func.Dept_Group NorthCentral","",""
"63511000","1820200900","1820200900","PL","Func.Dept_Group NorthCentral","",""
"63512000","1820200900","1820200900","PL","Func.Dept_Group NorthCentral","",""
"63531000","1820200900","1820200900","PL","Func.Dept_Group NorthCentral","",""
"91515000","1820200900","1820200900","PL","Func.Dept_Group NorthCentral","",""
"91635000","1820200900","1820200900","PL","Func.Dept_Group NorthCentral","",""
"94200800","1820200900","1820200900","PL","Func.Dept_Group NorthCentral","",""
"63232003","D119B000E00","D119B000E00","PL","SwineFarm_Dong Nam Bo 2 ","Dong Nam Bo 2","South 1"
"63232003","D160B000E00","D160B000E00","PL","SwineFarm_Cujut","Cujut","South 2"
"82110000","D221B000000","D221B000000","PL","Func.Dept_LF Tax","",""
"82120000","D221B000000","D221B000000","PL","Func.Dept_LF Tax","",""
"63232003","D588B000E00","D588B000E00","PL","SwineFarm_Lang Viet Nam","Lang Viet Nam","South 1"
"63232003","D588BA12E01","D588BA12E01","PL","SwineFarm_Lang Viet Nam","Lang Viet Nam","South 1"
