subaccount,sub_act,bs_pl,allocate,mapping,bu
"1800200900","1800200900","PL","Func.Dept_Group","",""
"1800200902","1800200902","PL","Func.Dept_Swine Group","",""
"1800200906","1800200906","PL","Func.Dept_Group","",""
"1800200916","1800200916","PL","Func.Dept_Group","",""
"1800200918","1800200918","PL","Func.Dept_Group","",""
"1800200923","1800200923","PL","Func.Dept_Swine Group","",""
"1800205907","1800205907","PL","Func.Dept_Swine Group","",""
"1800205915","1800205915","PL","Func.Dept_Swine Group","",""
"1800205919","1800205919","PL","Func.Dept_Swine Group","",""
"1800208900","1800208900","PL","Func.Dept_Poultry Group","",""
"1800208915","1800208915","PL","Func.Dept_Poultry Group","",""
"1810200900","1810200900","PL","Func.Dept_Swine South","",""
"1810200902","1810200902","PL","Func.Dept_Swine South","",""
"1810208900","1810208900","PL","Func.Dept_BU Poultry South","",""
"1810208902","1810208902","PL","Func.Dept_BU Poultry South","",""
"1820200900","1820200900","PL","Func.Dept_Swine NorthCentral","",""
"1820200902","1820200902","PL","Func.Dept_Swine NorthCentral","",""
"1820208900","1820208900","PL","Func.Dept_BU Poultry North","",""
"1822200900","1822200900","PL","Func.Dept_Swine NorthCentral","",""
"1822400900","1822400900","PL","Func.Dept_Swine NorthCentral","",""
"1822408900","1822408900","PL","Func.Dept_BU Poultry North","",""
"1840200900","1840200900","PL","Func.Dept_BU Swine South 1","",""
"1840200902","1840200902","PL","Func.Dept_BU Swine South 1","",""
"1850200900","1850200900","PL","Func.Dept_BU Swine South 2","",""
"1850200902","1850200902","PL","Func.Dept_BU Swine South 2","",""
"1860200900","1860200900","PL","Func.Dept_BU Swine Central","",""
"1863700900","1863700900","PL","Func.Dept_BU Swine Central","",""
"1863700911","1863700911","PL","Func.Dept_BU Swine Central","",""
"1870200900","1870200900","PL","Func.Dept_BU Swine North 1","",""
"1872200900","1872200900","PL","Func.Dept_BU Swine North 1","",""
"1880200900","1880200900","PL","Func.Dept_BU Swine North 2","",""
"9000200929","9000200929","PL","Func.Dept_Swine Group","",""
"A101A000A01","A101A000A01","PL","Feed_Paid on Behalf","Feed_Paid on Behalf",""
"A345A000A00","A345A000A00","PL","Feed_Paid on Behalf","Feed_Paid on Behalf",""
"A443A000A00","A443A000A00","PL","Feed_Paid on Behalf","Feed_Paid on Behalf",""
"A504A000A00","A504A000A00","PL","Feed_Paid on Behalf","Feed_Paid on Behalf",""
"B223B000000","B223B000000","PL","SwineFarm_Dak Lak 1","Dak Lak 1","Central"
"B223B000C00","B223B000D00","PL","SwineFarm_Dak Lak 1","Dak Lak 1","Central"
"B223B000C03","B223B000D73","PL","SwineFarm_Dak Lak 1","Dak Lak 1","Central"
"B223B000C04","B223B000D74","PL","SwineFarm_Dak Lak 1","Dak Lak 1","Central"
"B223B000D00","B223B000D00","PL","SwineFarm_Dak Lak 1","Dak Lak 1","Central"
"B223B000D73","B223B000D73","PL","SwineFarm_Dak Lak 1","Dak Lak 1","Central"
"B223B000D74","B223B000D74","PL","SwineFarm_Dak Lak 1","Dak Lak 1","Central"
"B223B000D81","B223B000D81","PL","SwineFarm_Dak Lak 1","Dak Lak 1","Central"
"B223BA05D00","B223BA05D00","PL","SwineFarm_Dak Lak 1","Dak Lak 1","Central"
"B223BA06D00","B223BA06D00","PL","SwineFarm_Dak Lak 1","Dak Lak 1","Central"
"B223BA09D00","B223BA09D00","PL","SwineFarm_Dak Lak 1","Dak Lak 1","Central"
"B223BA11D00","B223BA11D00","PL","SwineFarm_Dak Lak 1","Dak Lak 1","Central"
"B223BE03D00","B223BE03D00","PL","SwineFarm_Dak Lak 1","Dak Lak 1","Central"
"B223BF01D00","B223BF01D00","PL","SwineFarm_Dak Lak 1","Dak Lak 1","Central"
"B223BM01D00","B223BM01D00","PL","SwineFarm_Dak Lak 1","Dak Lak 1","Central"
"B223BM05D00","B223BM05D00","PL","SwineFarm_Dak Lak 1","Dak Lak 1","Central"
"B223BM08D00","B223BM08D00","PL","SwineFarm_Dak Lak 1","Dak Lak 1","Central"
"B223BM10D00","B223BM10D00","PL","SwineFarm_Dak Lak 1","Dak Lak 1","Central"
"B223BS00C03","B223BS00D73","PL","SwineFarm_Dak Lak 1","Dak Lak 1","Central"
"B223BS00C04","B223BS00D74","PL","SwineFarm_Dak Lak 1","Dak Lak 1","Central"
"B223BS00D00","B223BS00D00","PL","SwineFarm_Dak Lak 1","Dak Lak 1","Central"
"B223BS00D73","B223BS00D73","PL","SwineFarm_Dak Lak 1","Dak Lak 1","Central"
"B223BS00D74","B223BS00D74","PL","SwineFarm_Dak Lak 1","Dak Lak 1","Central"
"B223BS00D81","B223BS00D81","PL","SwineFarm_Dak Lak 1","Dak Lak 1","Central"
"C160A000B00","C160A000B00","PL","SwineFarm_Dak Nong 1","Dak Nong 1","South 2"
"D1000000000","D1000000000","PL","Func.Dept Cujut_DNB2_BinhThuan","",""
"D1000000E00","D1000000E00","PL","Added Value","Added Value",""
"D1000000E07","D1000000E07","PL","Added Value","Added Value",""
"D1000A13E00","D1000A13E00","PL","Added Value","Added Value",""
"D1000P05E01","D1000P05E01","PL","Added Value","Added Value",""
"D1000P05E02","D1000P05E02","PL","Added Value","Added Value",""
"D1000S00E00","D1000S00E00","PL","Added Value","Added Value",""
"D1000S00E07","D1000S00E07","PL","Added Value","Added Value",""
"D1000S37E00","D1000S37E00","PL","Added Value","Added Value",""
"D101BM08000","D101BM08000","PL","Func.Dept_BU Swine South 2","",""
"D117B000000","D117B000000","PL","SwineFarm_Binh Thuan","Binh Thuan","South 1"
"D117B000D00","D117B000D00","PL","SwineFarm_Binh Thuan","Binh Thuan","South 1"
"D117B000D75","D117B000D75","PL","SwineFarm_Binh Thuan","Binh Thuan","South 1"
"D117BA06D00","D117BA06D00","PL","SwineFarm_Binh Thuan","Binh Thuan","South 1"
"D117BA09D00","D117BA09D00","PL","SwineFarm_Binh Thuan","Binh Thuan","South 1"
"D117BF01D00","D117BF01D00","PL","SwineFarm_Binh Thuan","Binh Thuan","South 1"
"D117BM01D00","D117BM01D00","PL","SwineFarm_Binh Thuan","Binh Thuan","South 1"
