material_group,group,description
C111101,"Animal","TA heo tập ăn"
C111102,"Animal","TA heo thịt"
C111103,"Animal","TA heo nái"
C111104,"Animal","TA heo lai"
C111105,"Animal","TADD heo các loại"
C111106,"Poultry","TA gà trắng"
C111107,"Poultry","TA gà màu, thả vườn, gà ta"
C111108,"Poultry","TA gà đẻ"
C111109,"Poultry","TADD gà các loại"
C111110,"Poultry","TA vịt thịt"
C111111,"Poultry","TA vịt đẻ"
C111113,"Poultry","TA cút đẻ"
C111115,"Animal","TA bò thịt"
C111116,"Animal","TA bò sữa"
C111130,"Animal","TA cho Cừu"
C111131,"Poultry","TA cho gà giống hướng thịt"
C111132,"Poultry","TA cho gà giống hướng trứng"
C111138,"Poultry","TA gà tre"
C112117,"Fish","TA cá da trơn giống"
C112118,"Fish","TA cá rô phi giống"
C112119,"Fish","TA cá lóc giống"
C112120,"Fish","TA cá chẽm giống"
C112121,"Fish","TA cá tra, ba sa"
C112122,"Fish","TA cá rô phi"
C112123,"Fish","TA cá lóc"
C112124,"Fish","TA cá chẽm"
C112125,"Fish","TA cá kèo"
C112126,"Fish","TA cá tạp"
C112127,"Fish","TA ếch"
C112128,"Fish","TA cá rô đồng"
C112129,"Fish","TA cá rô đồng giống"
C112133,"Fish","TA cá chim vây vàng"
C112134,"Fish","TA cá lăng"
C112135,"Fish","TA cá trê vàng"
C112136,"Fish","TA cá thác lác giống"
C112137,"Fish","TA cá thác lác"
C112139,"Fish","TA cá trắm, cá chép"
C112145,"Fish","TA cá trắm, cá chép giống"
