profitcenter_1,profitcenter_2,sales_group_detail
"101","01","100"
"101","02","110"
"101","03","160"
"101","04","100"
"102","01","120"
"102","02","110"
"102","03","160"
"103","01","130"
"103","02","130"
"103","04","130"
"104","01","140_10"
"104","02","140_20"
"105","01","150"
"105","02","140_20"
"102","04","120"
"106","01","190"
"106","04","190"
"106","02","110"
"103","03","160"
"105","03","160"
"104","03","160"
"106","03","160"
"101","08","210"
"102","08","220"
"103","08","230"
"104","08","240"
"105","08","250"
"106","08","260"
