account,account_name,pnl_sap,pnl_slm
"51111001","DT bán hàng hóa NĐ","5","5"
"51112001","DT bán hàng hóa XK","5","5"
"51112002","DT bán hàng hóa XKKM","5","5"
"51112009","DT bán HH XK-CLTG","5","5"
"51121001","DT TP khách hàng NĐ","5","5"
"51121201","DT CKTM-TT(tich luy)","6","6"
"51121202","DT CKTM-TT TM","6","6"
"51121203","DT CKTM-CK VC","6","6"
"51121301","DT khác-TTR CK","6","6"
"51121302","DT khác-TTR CK khác","6","6"
"51121303","DT khác-ĐC chuyến DL","64","64"
"51121304","DT khác-ĐC CTV","78","78"
"51121305","DT khác-ĐC Hội thảo","65","65"
"51121306","DT khác-ĐC Tinh heo","63","63"
"51121307","DT khác-ĐC VC","77","77"
"51121308","DT khác-ĐC VD market","64","64"
"51121309","DT khác-ĐC KM cám","64","64"
"51121310","DT khác-ĐC CP BPKD","62","62"
"51121311","DT khác-ĐC CK Khác","78","78"
"51121312","DT khác-TTr CK-NB","6","6"
"51121313","DT khác-ĐC CK POP","69","69"
"51121315","DT khác-ĐC CK Bảng hiệu","66","66"
"51121316","DT khác-ĐC CK TDDL","67","67"
"51121317","DT khác-ĐC CK CP thuê kho","80","80"
"51122001","DT XK TP-KH XK","5","5"
"51122002","DT XK TP-KH XK-KM","5","5"
"51122009","DT XK TP-KH XK-CLTG","5","5"
"51123001","DT bán thành phẩm-NB","5","5"
"51123002","DT bán hàng hóa-NB","5","5"
"51124001","DT TP KH-NB-XK","5","5"
"51124002","DT bán NL-NB-XK","5","5"
"51131000","DT cung cấp DV KH","5","5"
"51132000","DT cung cấp DV KH-KM","5","5"
"51181000","DT khác-phế liệu","113","113"
"51182000","DT khác-NVL, phế TL","113","113"
"51183101","DT khác-CCDC-NĐ","113","113"
"51183102","DT khác-TL CCDC-NĐ","113","113"
"51183201","DT khác-CCDC-NK","113","113"
"51184101","DT-khác-hoa hồng NCC","5","5"
"51511000","DT HDTC-Lãi tiền gửi","112","112"
"51521000","DT HDTC-CLTG-Realize","25","25"
"51522000","DT HDTC-CLTG-UnReal","25","25"
"51523000","DT HDTC-CLTG-HMTC","112","112"
"51531000","DT HDTC-ĐT Cty con","112","112"
"51532000","DT HDTC-ĐT Cty LK","112","112"
"52111000","HB bị trả lại-TP-KH ","5","5"
"52112000","HB bị trả lại-HH-KH ","5","5"
"63211001","GVHB-TP Nội địa","17","17"
"63211003","GVHB-TP KMãi-C.Khấu","6","6"
"63211004","GVHB-TP KMãi-HT","65","65"
"63211005","GVHB-TP KMãi-Thưởng","65","65"
"63211009","GVHB-TP NĐ-TG","17","17"
"63212001","GVHB-TP Xuất khẩu","17","17"
"63212002","GVHB-TP Xuất khẩu-KM","17","17"
"63213001","GVHB-Biến động giá","17","17"
"63213002","GVHB-Biến động CPMH","17","17"
"63213003","GVHB-Hao hụt MT","17","17"
"63213004","GVHB-Lưu cont, tàu","17","17"
"63213005","GVHB-Schữa cont, tàu","17","17"
"63213006","GVHB-Hao hụt HTK","17","17"
"63213007","GVHB-HH thay bao","17","17"
"63213008","GVHB-Hàng tổn thất","17","17"
"63213009","GVHB-Dự phòng HTK","17","17"
"63213010","GVHB-Vay mượn hàng","17","17"
"63213011","GVHB-Khác ","17","17"
"63219100","GVHB-Chênh lệch GVTP","17","17"
"63219200","GVHB-Chênh lệch GVNL","17","17"
"63231106","","700","700"
"63231408","","17",""
"63250001","GVHB-CPSX-TG","",""
"63251000","GVHB-CPSX-CP Lương","Clear TG","32"
"63251100","GVHB-CPSX-CP Lương-Đ/C","32","32"
"63252000","GVHB-CPSX-CCDC,BT","Clear TG","36"
"63252100","GVHB-CPSX-CCDC,BT-Đ/C","36","36"
"63253000","GVHB-CPSX-CP điện","Clear TG","34"
"63253100","GVHB-CPSX-CP điện-Đ/C","34","34"
"63254000","GVHB-CPSX-CP hơi","Clear TG","35"
"63254100","GVHB-CPSX-CP hơi-Đ/C","35","35"
"63255000","GVHB-CPSX-CP KH","Clear TG","33"
"63255100","GVHB-CPSX-CP KH","33","33"
"63257000","GVHB-CPSX-CP khác","Clear TG","37"
"63257100","GVHB-CPSX-CP khác-Đ/C","37","37"
"63258100","GVHB-CPSX-Dưới CS_Khấu hao","39","39"
"63258200","GVHB-CPSX-Dưới CS_Cám","39","39"
"63258300","GVHB-CPSX-Dưới CS_Thuốc","39","39"
"63259000","GVHB-CPSX-CP thưởng","32","32"
"63281001","GVHB-Hàng hóa NĐ","17","17"
"63281003","GVHB-HHóa NĐ-KMãi-CK","6","6"
"63281004","GVHB-HHóa NĐ-KMãi-HT","65","65"
"63281005","GVHB-HHóa NĐ-KMãi-QC","64","64"
"63281006","GVHB-HHóa NĐ-KMãi-BH","66","66"
"63281009","GVHB-HHóa NĐ-TG","64","64"
"63282001","GVHB-Hàng hóa XK","17","17"
"63282002","GVHB-H.hóa XK-KMãi","17","17"
"63283001","GVHB-Dịch vụ","17","17"
"63283002","GVHB-Dịch vụ-KMãi-CK","6","6"
"63283003","GVHB-Dịch vụ-KMãi-HT","65","65"
"63283004","GVHB-Dịch vụ-KMãi-QC","17","17"
"63283005","GVHB-Dịch vụ_khác","17","17"
"63288001","GVHB-Phế liệu","114","114"
"63288002","GVHB-NVL TL,phế phẩm","114","114"
"63288003","GVHB-CCDC-Con giống","114","114"
"63288004","GVHB-CCDC-Khác","114","114"
"63288005","GVHB-CCDC-TL-Khác","114","114"
"63288006","GVHB-CCDC-Con giống -phí giống","114","114"
"63511000","CPTC-Lãi vay-NH","112","112"
"63512000","CPTC-Lãi vay-Trg DH","112","112"
"63521000","CPTC-CLTG-Realized","25","25"
"63522000","CPTC-CLTG-Unrealized","25","25"
"63531000","CPTC-Lãi trái phiếu","112","112"
"63541000","CPTC-LD, liên kết","112","112"
"63542000","CPTC-Đầu tư Cty con","112","112"
"64111001","CPBH-Lương căn bản","58","58"
"64111002","CPBH-Lương phụ cấp","58","58"
"64111003","CPBH-Lương tăng ca","58","58"
"64111004","CPBH-Lương tháng 13","58","58"
"64111005","CPBH-Thưởng mục tiêu","58","58"
"64111006","CPBH-Thuế TNCN","58","58"
"64111007","CPBH-Thưởng khác","58","58"
"64111008","CPBH-Lương CTV","58","58"
"64111009","CPBH-Thuế TNCN_CTV","58","58"
"64111010","CPBH-Lương CTV_TD","58","58"
"64112001","CPBH-BHXH","58","58"
"64112002","CPBH-BHYT","58","58"
"64112003","CPBH-BHTN","58","58"
"64112004","CPBH-KPCĐ","58","58"
"64113001","CPBH-TCTV","58","58"
"64113002","CPBH-Trợ cấp khác","58","58"
"64113004","CPBH-PL thâm niên","58","58"
"64121001","CPBH-CTP-Khách sạn","60","60"
"64121002","CPBH-CTP-Tiền ăn","60","60"
"64121003","CPBH-CTP-Điện thoại","60","60"
"64121004","CPBH-CTP-X.dầu-Csách","60","60"
"64121005","CPBH-CTP-Tiếp khách","60","60"
"64121006","CPBH-CTP-VC, VMB","60","60"
"64121007","CPBH-CTP-Vé xe, CĐ","60","60"
"64121008","CPBH-CTP-Khác","60","60"
"64122001","CPBH-Huấn luyện-NV","62","62"
"64122002","CPBH-Họp, HN, HT-NV","62","62"
"64122003","CPBH-Team building","61","61"
"64122004","CPBH-Đào tạo_NB","62","62"
"64122005","CPBH-Đào tạo_BN","62","62"
"64123001","CPBH-Hoa hồng NVKD","59","59"
"64123002","CPBH-H.Hồng VĐ NVKD","59","59"
"64123003","CPBH-H.Hồng CTV","59","59"
"64124001","CPBH-Thuê,bảo trì xe","73","73"
"64124002","CPBH-PC Thuê, BT xe","73","73"
"64124003","CPBH-PC Xăng xe","73","73"
"64131000","CPBH- CP HT trại","74","74"
"64131001","CPBH-Quảng cáo","64","64"
"64131002","CPBH-Bảng hiệu","66","66"
"64131003","CPBH-Vật dụng KM","64","64"
"64131004","CPBH-Hàng hóa KM-KTT","64","64"
"64131005","CPBH-Ao,Tr.mẫu-POP","69","69"
"64131006","CPBH-Hàng TP KM-KTT","64","64"
"64131008","CPBH-Khuyến mãi khác","64","64"
"64131009","CPBH-Hàng hóa KM-KTT_NV","61","61"
"64132001","CPBH-Hội thảo KH","65","65"
"64132002","CPBH-HN,tổng kết KH","65","65"
"64133001","CPBH-Hoa hồng cho KH","6","6"
"64133002","CPBH-VĐKH HKM KTT","67","67"
"64133003","CPBH-H.hồng KH-khác","78","78"
"64134001","CPBH-Tiếp khách","60","60"
"64134002","CPBH-Ăn trưa","60","60"
"64135001","CPBH-HT, giảm giá KH","65","65"
"64136001","CPBH-Trại mẫu-NVL","69","69"
"64136002","CPBH-Trại mẫu-CNTT","69","69"
"64136003","CPBH-Trại mẫu-SX","69","69"
"64136004","CPBH-Trại mẫu-BH","69","69"
"64136005","CPBH-Trại mẫu-QL","69","69"
"64141000","CPBH-Khấu hao TSCĐ","76","76"
"64141010","CPBH-Khấu hao TSCĐ_GIS","76","76"
"64151000","CPBH-CCDC,TBVP","78","78"
"64151010","CPBH-CCDC,TBVP_GIS","78","78"
"64152000","CPBH-Điện thoại","72","72"
"64152100","CPBH-Điện thoại_Phúc lợi","61","61"
"64153000","CPBH-Điện","78","78"
"64154000","CPBH-Nước","78","78"
"64155000","CPBH-Bưu phẩm, in ấn","78","78"
"64156001","CPBH-Bảo hiểm TS","75","75"
"64156002","CPBH-Bảo hiểm sức khỏe","61","61"
"64156008","CPBH-Bảo hiểm khác","61","61"
"64157001","CPBH-VP Khác","78","78"
"64170001","CPBH-Vận chuyển TP","77","77"
"64170002","CPBH-Bốc xếp TP","77","77"
"64170003","CPBH-Bảo hiểm VC TP","77","77"
"64170004","CPBH-Thuê xe nâng","77","77"
"64170005","CPBH-Xăng, dầu","77","77"
"64170006","CPBH-VC, BX khác","77","77"
"64170007","CPBH-Lưu phương tiện","77","77"
"64170008","CPBH-VC TP-HTDL","77","77"
"64180001","CPBH-Kiểm định TP","78","78"
"64180002","CPBH-Đồng phục","61","61"
"64180003","CPBH-B.Thường do SP","78","78"
"64180004","CPBH-Không được trừ","78","78"
"64180005","CPBH-Thuế, phí, LP","78","78"
"64180006","CPBH-Cộng tác viên","78","78"
"64180007","CPBH-Thuế TNCN KM,CK","6","6"
"64180008","CPBH-Khác","78","78"
"64180009","CPBH-Thuê kho","80","80"
"64180010","CPBH-Hun trùng","78","78"
"64180011","CPBH-Vệ sinh kho","80","80"
"64180012","CPBH-Bảo vệ","80","80"
"64180013","CPBH-Không được trừ_BHNT","61","61"
"64180014","CPBH-Khám sức khỏe","61","61"
"64180015","CPBH-Bản quyền HCM","78","78"
"64211001","CPQL-Lương căn bản","86","86"
"64211002","CPQL-Lương phụ cấp","86","86"
"64211003","CPQL-Lương tăng ca","86","86"
"64211004","CPQL-Lương tháng 13","87","87"
"64211005","CPQL-Thưởng mục tiêu","86","86"
"64211006","CPQL-Thuế TNCN","86","86"
"64211007","CPQL-Thưởng khác","86","86"
"64211008","CPQL-Thưởng MT-TTr","86","86"
"64211009","CPQL-Thù lao HĐQT","86","86"
"64211010","CPQL-Thưởng on-top","86","86"
"64212001","CPQL-CP BHXH","86","86"
"64212002","CPQL-CP BHYT","86","86"
"64212003","CPQL-CP BHTN","86","86"
"64212004","CPQL-CP KPCD","86","86"
"64213001","CPQL-CP TCTV","89","89"
"64213002","CPQL-CP trợ cấp khác","89","89"
"64213003","CPQL-CP TC mất việc","89","89"
"64213004","CPQL-CP PL Thâm niên","89","89"
"64213005","CPQL-CP HT tiền học","89","89"
"64221001","CPQL-CTP-Khách sạn","90","90"
"64221002","CPQL-CTP-Tiền ăn","90","90"
"64221003","CPQL-CTP-Điện thoại","90","90"
"64221004","CPQL-CTP-Xăng, dầu","90","90"
"64221005","CPQL-CTP-Tiếp khách","90","90"
"64221006","CPQL-CTP-VChuyển-VMB","90","90"
"64221007","CPQL-CTP-Vé xe, CĐ","90","90"
"64221008","CPQL-CTP-khác","90","90"
"64221009","CPQL-CTP-du lịch","88","88"
"64222001","CPQL-Huấn luyện","90","90"
"64222002","CPQL-Họp, HN, H.thảo","90","90"
"64222003","CPQL-Teambuilding","88","88"
"64222004","CPQL-Đào tạo_NB","90","90"
"64222005","CPQL-Huấn luyện_LDS","88","88"
"64222006","CPQL-Đào tạo_BN","90","90"
"64223001","CPQL-Tiếp khách","92","92"
"64223002","CPQL-Cơm trưa","88","88"
"64223003","CPQL-Tiếp khách_CP du lịch","88","88"
"64231001","CPQL-Btrì CCDC, TBVP","99","99"
"64231002","CPQL-Bảo trì nhà VP","99","99"
"64231003","CPQL-Bảo trì xe","99","99"
"64231004","CPQL-Btrì CCDC, TBVP_GIS","99","99"
"64232001","CPQL-CP di chuyển","98","98"
