Mã khách hàng,Tên khách hàng,Channel,Customer Group,Customer Group 1,Customer Group 2,Sale Group
301427596000,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ ĐẠT MỸ,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
0303303148,CÔNG TY TNHH THƯƠNG MẠI - DỊCH VỤ LAM TÂN,Horeca,Horeca,Horeca,Hotel - Restaurant,Horeca LBC
0304741634,CÔNG TY CỔ PHẦN TRUNG TÂM THƯƠNG MẠI LOTTE VIỆT NAM,Horeca,Horeca,Horeca,Fast Food,Horeca LBC
0310471746352,CHI NHÁNH CÔNG TY CỔ PHẦN THƯƠNG MẠI BÁCH HÓA XANH � CỬA HÀNG BÁCH HÓA XANH LONG AN,Modern Trade,Modern Trade,MINI MART,BHX,MT
0314212615,CÔNG TY TNHH KHOA HỌC TSL,Others,Other,Other,Other,Other
123XEO,1.2.3 XÈO,Horeca,Horeca,Horeca,Hotel - Restaurant,Horeca LBC
3FFOOD,CÔNG TY TNHH 3FFOOD,Horeca,Horeca,Horeca,Hotel - Restaurant,Horeca LBC
A DUNG,ANH DŨNG,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
ABA,CÔNG TY CỔ PHẦN GIẢI PHÁP THƯƠNG MẠI ABA,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
AC&R,CÔNG TY TNHH THƯƠNG MẠI AC & R VIỆT NAM,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
ACHUNG,ANH CHUNG,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
AHUYBT,"NGƯỜI MUA KHÔNG CUNG CẤP TÊN, ĐỊA CHỈ, MÃ SỐ THUẾ",Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
ALONG,ANH LONG,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
AMINH,ANH MINH,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
ANCO,CÔNG TY CP THỰC PHẨM GIA ĐÌNH ANCO,Horeca,Horeca,Horeca,Producer/Company,Horeca LBC
ANNAM,CÔNG TY TNHH PHÂN PHỐI SÀNH ĐIỆU,Modern Trade,Modern Trade,MTI MN,AN NAM,MT
ANNAMANPHU(THAODIEN),CÔNG TY TNHH PHÂN PHỐI SÀNH ĐIỆU,Modern Trade,Modern Trade,MTI MN,AN NAM,MT
ANNAMESTELLA,CÔNG TY TNHH PHÂN PHỐI SÀNH ĐIỆU,Modern Trade,Modern Trade,MTI MN,AN NAM,MT
ANNAMFELIZENVISTA,CÔNG TY TNHH PHÂN PHỐI SÀNH ĐIỆU,Modern Trade,Modern Trade,MTI MN,AN NAM,MT
ANNAMGOURMETSAIGONCENTRE,CÔNG TY TNHH PHÂN PHỐI SÀNH ĐIỆU,Modern Trade,Modern Trade,MTI MN,AN NAM,MT
ANNAMHAIBATRUNG,CÔNG TY TNHH PHÂN PHỐI SÀNH ĐIỆU,Modern Trade,Modern Trade,MTI MN,AN NAM,MT
ANNAMLANDMARK81,CÔNG TY TNHH PHÂN PHỐI SÀNH ĐIỆU,Modern Trade,Modern Trade,MTI MN,AN NAM,MT
ANNAMNGUYENVANTROI,CÔNG TY TNHH PHÂN PHỐI SÀNH ĐIỆU,Modern Trade,Modern Trade,MTI MN,AN NAM,MT
ANNAMPHUMYHUNG,CÔNG TY TNHH PHÂN PHỐI SÀNH ĐIỆU,Modern Trade,Modern Trade,MTI MN,AN NAM,MT
ANNAMSAIGONPEARL,CÔNG TY TNHH PHÂN PHỐI SÀNH ĐIỆU,Modern Trade,Modern Trade,MTI MN,AN NAM,MT
ANNAMVOTRUONGTOAN,CÔNG TY TNHH PHÂN PHỐI SÀNH ĐIỆU,Modern Trade,Modern Trade,MTI MN,AN NAM,MT
ANHCUONG,ANH CƯỜNG,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
ANHHANH,ANH HẠNH,Horeca,Horeca,Horeca,Street Restaurant,Horeca LBC
