"MATERIAL","LANGU","TXTMD"
"000000000001010102","E","Gà bọng_Tươi_đóng túi"
"000000000001010202","E","Gà nguyên con_Tươi_đóng túi"
"000000000001018002","E","Gà bọng_Tươi_đóng túi"
"000000000001020102","E","Cổ gà không da _Tươi_đóng túi"
"000000000001020201","E","Cổ gà không da _Tươi_đóng khay"
"000000000001020303","E","Cổ gà không da _Tươi_đóng khay 500g"
"000000000001020702","E","Đầu cổ gà_Tươi_đóng túi"
"000000000001020801","E","Đầu cổ gà_Tươi_đóng khay"
"000000000001020903","E","Đầu cổ gà_Tươi_đóng khay 500g"
"000000000001030502","E","Thuế GTGT - Phi lê gà có da_Tươi_đóng tú"
"000000000001031002","E","Phi lê gà không da_Tươi_đóng túi"
"000000000001031101","E","Phi lê gà không da_Tươi_đóng khay"
"000000000001031203","E","Phi lê gà không da_Tươi_đóng khay 500g"
"000000000001031602","E","Phi lê gà vụn _Tươi_đóng túi"
"000000000001031701","E","Sụn gà_Tươi_đóng khay"
"000000000001031802","E","Sụn gà_Tươi_đóng túi"
"000000000001031903","E","Sụn gà_Tươi_đóng khay 500g"
"000000000001032002","E","Thịt gà vụn_Tươi_đóng túi"
"000000000001032101","E","Thịt tender gà_Tươi_đóng khay"
"000000000001032303","E","Thịt tender gà_Tươi_đóng khay 500g"
"000000000001032701","E","Ức gà có da_Tươi_đóng khay"
"000000000001032802","E","Ức gà có da_Tươi_đóng túi"
"000000000001032903","E","Ức gà có da_Tươi_đóng khay 500g"
"000000000001038002","E","Phi lê gà có da_Tươi_đóng túi"
"000000000001038102","E","Phi lê gà không da_Tươi_đóng túi"
"000000000001040101","E","Cánh gà chữ V_Tươi_đóng khay"
"000000000001040303","E","Cánh gà chữ V_Tươi_đóng khay 500g"
"000000000001040401","E","Cánh gà 2 khúc (tỏi, giữa)_Tươi_đóng kha"
"000000000001040502","E","Cánh gà 2 khúc (tỏi, giữa)_Tươi_đóng túi"
"000000000001040603","E","Cánh gà 2 khúc (tỏi, giữa)_Tươi_đóng kha"
"000000000001040702","E","Cánh gà_Tươi_đóng túi"
"000000000001040803","E","Cánh gà_Tươi_đóng khay 500g"
"000000000001040901","E","Cánh gà_Tươi_đóng khay"
"000000000001041002","E","Cánh gà (loại 2)_Tươi_đóng túi"
"000000000001041101","E","Cánh giữa gà_Tươi_đóng khay"
"000000000001041202","E","Cánh giữa gà_Tươi_đóng túi"
"000000000001041303","E","Cánh giữa gà_Tươi_đóng khay 500g"
"000000000001041402","E","Cánh giữa gà (loại 2)_Tươi_đóng túi"
"000000000001041501","E","Cánh tỏi gà_Tươi_đóng khay"
"000000000001041602","E","Cánh tỏi gà_Tươi_đóng túi"
"000000000001041703","E","Cánh tỏi gà_Tươi_đóng khay 500g"
"000000000001041802","E","Cánh tỏi gà (loại 2)_Tươi_đóng túi"
"000000000001041901","E","Cánh tỏi gà cuộn_Tươi_đóng khay"
"000000000001042103","E","Cánh tỏi gà cuộn_Tươi_đóng khay 500g"
"000000000001042302","E","Chót cánh gà_Tươi_đóng túi"
"000000000001048002","E","Cánh gà_Tươi_đóng túi"
"000000000001048102","E","Cánh gà 2 khúc (Tỏi, giữa)_CFF Tươi_đóng"
"000000000001050101","E","Đùi gà phi lê_Tươi_đóng khay"
"000000000001050202","E","Đùi gà phi lê_Tươi_đóng túi"
"000000000001050303","E","Đùi gà phi lê_Tươi_đóng khay 500g"
"000000000001050401","E","Đùi gà tháo khớp_Tươi_đóng khay"
"000000000001050502","E","Đùi gà tháo khớp_Tươi_đóng túi"
"000000000001050603","E","Đùi gà tháo khớp_Tươi_đóng khay 500g"
"000000000001050701","E","Đùi tỏi gà_Tươi_đóng khay"
"000000000001050802","E","Đùi tỏi gà_Tươi_đóng túi"
"000000000001050903","E","Đùi tỏi gà_Tươi_đóng khay 500g"
"000000000001051001","E","Má đùi gà_Tươi_đóng khay"
"000000000001051102","E","Má đùi gà_Tươi_đóng túi"
"000000000001051201","E","Má đùi gà không xương_Tươi_đóng khay"
"000000000001051302","E","Má đùi gà không xương_Tươi_đóng túi"
"000000000001051403","E","Má đùi gà không xương_Tươi_đóng khay 500"
