element,cogs_sub_type,cogs_type
069,69-Other expenses,Manufacturing costs
062,Other wages,Manufacturing costs
063,Depreciation exp.,Manufacturing costs
080,Merchendise,Manufacturing costs
030,Subcontract,Manufacturing costs
090,Inter Profit,
053,Energy& utilities,Manufacturing costs
051,Emp.Outsourcing,Manufacturing costs
010,Materials,Materials costs
061,Wages,Manufacturing costs
052,Consum&supplies,Manufacturing costs
020,Bag,Materials costs
059,59-Other expenses,Manufacturing costs
040,Delivery cost STO,Manufacturing costs
