cost_center,cost_center_name,Person Responsible,cc_group,cc_group_name
330010K002,"F_DC Gò Vấp",Feddy,02,Kho
330010K003,"F_DC Bình Thạnh",Feddy,02,Kho
330010K004,"F_DC Hà Nội",Feddy,02,Kho
330010K005,"F_DC CN Đồng Nai",Feddy,02,Kho
330010K006,"F_DC CN Miền Bắc",Feddy,02,Kho
330010K007,"F_DC Tây Hòa",Feddy,02,Kho
330010K008,"F_DC Tân Hóa",Feddy,02,Kho
330010K009,"F_DC Tân Sơn",Feddy,02,Kho
330010K010,"F_S.LOC Bảo Trung",Feddy,02,Kho
330010K011,"F_DC Đức Tấn",Feddy,02,Kho
330010K012,"F_DC An Phú",Feddy,02,Kho
330010K013,"F_DC Hoàng Phi Quân",Feddy,02,Kho
330010K014,"F_DC Quang Trung",Feddy,02,Kho
330010K015,"F_DC Feddy tai DNF",Feddy,02,Kho
330010M001,"Kho TổngHợp Meatshop",Feddy,01,Cửa hàng
330010M002,"F_MS N. Văn Luông",Feddy,01,Cửa hàng
330010M003,"F_MS Phan Chu Trinh",Feddy,01,Cửa hàng
330010M004,"F_MS N. Văn Thương",Feddy,01,Cửa hàng
330010M005,"F_MS Quốc Hương",Feddy,01,Cửa hàng
330010M006,"F_MS Tân Hòa Đông",Feddy,01,Cửa hàng
330010M007,"F_MS Ngô Tất Tố",Feddy,01,Cửa hàng
330010M008,"F_MS PHạm Văn Hai",Feddy,01,Cửa hàng
330010M009,"F_MS N. Duy Trinh",Feddy,01,Cửa hàng
330010M010,"F_MS Độc Lập",Feddy,01,Cửa hàng
330010M011,"F_MS Lý Phục Man",Feddy,01,Cửa hàng
330010M012,"F_MS Bùi Văn Ba",Feddy,01,Cửa hàng
330010M013,"F_MS TB-H. Hoa Thám",Feddy,01,Cửa hàng
330010M014,"F_MS Trần Mai Ninh",Feddy,01,Cửa hàng
330010M015,"F_MS Hoàng N Phách",Feddy,01,Cửa hàng
330010M016,"F_MS Phạm Văn Chiêu",Feddy,01,Cửa hàng
330010M017,"F_MS Bông Sao",Feddy,01,Cửa hàng
330010M018,"F_MS Tô Hiến Thành",Feddy,01,Cửa hàng
330010M019,"F_MS Trần Văn Quang",Feddy,01,Cửa hàng
330010M020,"F_MS Trung Mỹ Tây",Feddy,01,Cửa hàng
330010M021,"F_MS C.Mạng Tháng 8",Feddy,01,Cửa hàng
330010M022,"F_MS Phạm Văn Bạch",Feddy,01,Cửa hàng
330010M023,"F_MS Tô Ngọc Vân",Feddy,01,Cửa hàng
330010M024,"F_MS Phạm Phú Thứ",Feddy,01,Cửa hàng
330010M025,"F_MS Trần Nhân Tôn",Feddy,01,Cửa hàng
330010M026,"F_MS Cây Keo",Feddy,01,Cửa hàng
330010M027,"F_MS T. Phước Phan",Feddy,01,Cửa hàng
330010M028,"F_MS Phước Bình",Feddy,01,Cửa hàng
330010M029,"F_MS Hai Bà Trưng",Feddy,01,Cửa hàng
330010M030,"F_MS Lê Đức Thọ",Feddy,01,Cửa hàng
330010M031,"F_MS An Dương Vương",Feddy,01,Cửa hàng
330010M032,"F_MS Nguyễn Xí",Feddy,01,Cửa hàng
330010M033,"F_MS Bạch Vân",Feddy,01,Cửa hàng
330010M034,"F_MS Nguyễn Thị TẦn",Feddy,01,Cửa hàng
330010M035,"F_MS Lê Văn Sỹ",Feddy,01,Cửa hàng
330010M036,"F_MS Lê Thạch",Feddy,01,Cửa hàng
330010M037,"F_MS Tân Quy",Feddy,01,Cửa hàng
330010M038,"F_MS Phổ Quang",Feddy,01,Cửa hàng
330010M039,"F_MS N. Thị Trang",Feddy,01,Cửa hàng
330010M040,"F_MPhan Chu Trinh BH",Feddy,01,Cửa hàng
330010M041,"F_MPhạm Văn Thuận BH",Feddy,01,Cửa hàng
330010M042,"F_MS Bình Triệu",Feddy,01,Cửa hàng
330010M043,"F_MS N. Đình Chiểu",Feddy,01,Cửa hàng
330010M044,"F_MS Xóm Củi",Feddy,01,Cửa hàng
330010M045,"F_MS Phan Văn Trị",Feddy,01,Cửa hàng
330010M046,"F_MS Quang Trung",Feddy,01,Cửa hàng
330010M047,"F_M NTMinh Khai BD",Feddy,01,Cửa hàng
330010M048,"F_MS Đinh Bộ Lĩnh BD",Feddy,01,Cửa hàng
330010M049,"F_MS Đỗ Xuân Hợp",Feddy,01,Cửa hàng
330010M050,"F_MS Lê Văn Lương NB",Feddy,01,Cửa hàng
330010M051,"F_MS Huỳnh Tấn Phát",Feddy,01,Cửa hàng
330010M052,"F_MS Lạc Long Quân",Feddy,01,Cửa hàng
330010M053,"F_MS Nguyễn Thị Định",Feddy,01,Cửa hàng
330010M054,"F_MS Nguyễn Sỹ Sách",Feddy,01,Cửa hàng
330010M055,"F_MS Cống Quỳnh",Feddy,01,Cửa hàng
330010M056,"F_MS Nguyễn Ảnh Thủ",Feddy,01,Cửa hàng
330010M057,"F_MS Tân Phú",Feddy,01,Cửa hàng
330010M058,"F_MSTrịnh Đình Trọng",Feddy,01,Cửa hàng
330010M059,"F_MS Tam Bình",Feddy,01,Cửa hàng
330010M060,"F_MS Nguyễn Huy Tự",Feddy,01,Cửa hàng
330010M061,"F_MS Gò Xoài",Feddy,01,Cửa hàng
330010M062,"F_MS Hà Huy Giáp",Feddy,01,Cửa hàng
330010M063,"F_MS Trần Quý",Feddy,01,Cửa hàng
330010M064,"F_MS Lý Thường Kiệt",Feddy,01,Cửa hàng
330010M065,"F_MS Kha Vạn Cân",Feddy,01,Cửa hàng
330010M066,"F_MS Trần Hữu Trang",Feddy,01,Cửa hàng
330010M067,"F_MS Lộ Tẻ",Feddy,01,Cửa hàng
330010M068,"F_MS Âu Cơ",Feddy,01,Cửa hàng
330010M069,"F_MS Nguyễn Lâm",Feddy,01,Cửa hàng
330010M070,"F_MS Sơn Kỳ",Feddy,01,Cửa hàng
330010M071,"F_MS Lê Văn Quới",Feddy,01,Cửa hàng
330010M072,"F_MS Long Trường",Feddy,01,Cửa hàng
330010M073,"F_MS Trần Văn Mười",Feddy,01,Cửa hàng
330010M074,"F_MS Dương Đình Hội",Feddy,01,Cửa hàng
330010M075,"F_MS City Land",Feddy,01,Cửa hàng
330010M076,"F_MS Nguyễn Văn Nghi",Feddy,01,Cửa hàng
330010M077,"F_MS Phong Phú",Feddy,01,Cửa hàng
330010M078,"F_M-Lê Văn Lương-Q7",Feddy,01,Cửa hàng
330010M079,"F_MS Đỗ Ngọc Quang",Feddy,01,Cửa hàng
330010M080,"F_MS Lê Văn Việt",Feddy,01,Cửa hàng
330010M081,"F_MS Cao Đạt",Feddy,01,Cửa hàng
330010M082,"F_MS Tân Mỹ",Feddy,01,Cửa hàng
330010M083,"F_MS QUỐC LỘ 13",Feddy,01,Cửa hàng
330010M084,"F_MS PHẠM HỮU LẦU",Feddy,01,Cửa hàng
330010M085,"F_MS BT-H. Hoa Thám",Feddy,01,Cửa hàng
330010M086,"F_MS An Phú",Feddy,01,Cửa hàng
330010M087,"F_MS LÊ VĂN THỌ",Feddy,01,Cửa hàng
330010M088,"F_MS BÌNH QUỚI",Feddy,01,Cửa hàng
330010M089,"F_MS553 N.DINH CHIEU",Feddy,01,Cửa hàng
330010M090,"F_MS NGUYEN VAN TAO",Feddy,01,Cửa hàng
330010M091,"F_MS An Khánh",Feddy,01,Cửa hàng
330010M092,"F_MS Phú Lợi",Feddy,01,Cửa hàng
330010M093,"F_MS TR.CÔNG ĐỊNH",Feddy,01,Cửa hàng
330010M094,"F_MS LINH TRUNG",Feddy,01,Cửa hàng
330010M095,"F_MS NGUYỄN VĂN CÔNG",Feddy,01,Cửa hàng
330010M096,"F_MS96",Feddy,01,Cửa hàng
330010M097,"F_MS97",Feddy,01,Cửa hàng
330010M098,"F_MS98",Feddy,01,Cửa hàng
330010M099,"F_MS99",Feddy,01,Cửa hàng
330010M100,"F_MS100",Feddy,01,Cửa hàng
330010M101,"F_MS101",Feddy,01,Cửa hàng
330010M102,"F_MS102",Feddy,01,Cửa hàng
330010M103,"F_MS103",Feddy,01,Cửa hàng
330010M104,"F_MS104",Feddy,01,Cửa hàng
330010M105,"F_MS105",Feddy,01,Cửa hàng
330010M106,"F_MS106",Feddy,01,Cửa hàng
330010M107,"F_MS107",Feddy,01,Cửa hàng
330010M108,"F_MS108",Feddy,01,Cửa hàng
330010M109,"F_MS109",Feddy,01,Cửa hàng
330010M110,"F_MS110",Feddy,01,Cửa hàng
330010M111,"F_MS111",Feddy,01,Cửa hàng
330010M112,"F_MS112",Feddy,01,Cửa hàng
330010M113,"F_MS113",Feddy,01,Cửa hàng
330010M114,"F_MS114",Feddy,01,Cửa hàng
330010M115,"F_MS115",Feddy,01,Cửa hàng
330010M116,"F_MS116",Feddy,01,Cửa hàng
330010M117,"F_MS117",Feddy,01,Cửa hàng
330010M118,"F_MS118",Feddy,01,Cửa hàng
330010M119,"F_MS119",Feddy,01,Cửa hàng
330010M120,"F_MS120",Feddy,01,Cửa hàng
3300116001,"F_SX-Gia công",Feddy,99,Khác
3300116101,"F_SX-Cho thuê TS",Feddy,99,Khác
3300180001,"F_CPBH- KD",Feddy,99,Khác
3300180011,"F_CPBH- KD _Retail",Feddy,99,Khác
3300180012,"F_CPBH- KD _Ecom",Feddy,99,Khác
3300180013,"F_CPBH- KD _GT",Feddy,99,Khác
3300180014,"F_CPBH- KD _MT",Feddy,99,Khác
3300180015,"F_CPBH- KD _Horeca",Feddy,99,Khác
3300180016,"F_CPBH- KD _Season",Feddy,99,Khác
3300180017,"F_CPBH- KD _Trader",Feddy,99,Khác
3300180018,"F_CPBH- KD _Intern",Feddy,99,Khác
3300180019,"F_CPBH- KD _Other",Feddy,99,Khác
3300180111,"F_CPBH-KD MMC_Retail",Feddy,99,Khác
3300180112,"F_CPBH-KD MMC_Lẻ",Feddy,99,Khác
