gl_account,name_gl_account,pl_code,pl_name,pl_group_code,pl_group_name
64111001,"CPBH-Lương căn bản",58,"Salary",01,"CP nhân sự"
64111002,"CPBH-Lương & P.Cấp",58,"Salary",01,"CP nhân sự"
64111003,"CPBH-Lương-Tăng ca",58,"Salary",01,"CP nhân sự"
64111004,"CPBH-Lương-Tháng 13",58,"Salary",01,"CP nhân sự"
64111005,"CPBH-Bonus DS, M-Q-Y",58,"Salary",01,"CP nhân sự"
64111006,"CPBH-Thuế TNCN",58,"Salary",01,"CP nhân sự"
64111007,"CPBH-Thưởng khác",58,"Salary",01,"CP nhân sự"
64111008,"CPBH-Lương_CTV",58,"Salary",01,"CP nhân sự"
64111009,"CPBH-Thuế TNCN_CTV",58,"Salary",01,"CP nhân sự"
64112001,"CPBH-BHXH",58,"Salary",01,"CP nhân sự"
64112002,"CPBH-BHYT",58,"Salary",01,"CP nhân sự"
64112003,"CPBH-BHTN",58,"Salary",01,"CP nhân sự"
64112004,"CPBH-KPCD",58,"Salary",01,"CP nhân sự"
64113001,"CPBH-Trcấp thôi việc",58,"Salary",01,"CP nhân sự"
64113002,"CPBH-Trợ cấp khác",58,"Salary",01,"CP nhân sự"
64113004,"CPBH-PL thâm niên",58,"Salary",01,"CP nhân sự"
64122003,"CPBH-YEP, Team",58,"Salary",01,"CP nhân sự"
64132002,"CPBH-Nhà ở nhân viên",58,"Salary",01,"CP nhân sự"
64132005,"CPBH-Di chuyển_PL",58,"Salary",01,"CP nhân sự"
64134002,"CPBH-Ăn trưa",58,"Salary",01,"CP nhân sự"
64152100,"CPBH-Điện thoại_PL",58,"Salary",01,"CP nhân sự"
64180002,"CPBH-Đồng phục",58,"Salary",01,"CP nhân sự"
64180006,"CPBH-CTV-block",58,"Salary",01,"CP nhân sự"
64180014,"CPBH-PL thể chất",58,"Salary",01,"CP nhân sự"
64123001,"CPBH-Hoa hồng NVKD",59,"Sales commissions",01,"CP nhân sự"
