cost_center,cost_center_name,dept,staff_cost_code
"330010K002","F_DC Gò Vấp","Warehouse","S5"
"330010K003","F_DC Bình Thạnh","Warehouse","S5"
"330010K004","F_DC Hà Nội","Warehouse","S5"
"330010K005","F_DC CN Đồng Nai","Warehouse","S5"
"330010K006","F_DC CN Miền Bắc","Warehouse","S5"
"330010K007","F_DC Tây Hòa","Warehouse","S5"
"330010K008","F_DC Tân Hóa","Warehouse","S5"
"330010K009","F_DC Tân Sơn","Warehouse","S5"
"330010K010","F_S.LOC Bảo Trung","Warehouse","S5"
"330010K011","F_DC Đức Tấn","Warehouse","S5"
"330010K012","F_DC An Phú","Warehouse","S5"
"330010K013","F_DC Hoàng Phi Quân","Warehouse","S5"
"330010K014","F_DC Quang Trung","Warehouse","S5"
"330010K015","F_DC Feddy tai DNF","Warehouse","S5"
"330010M001","Kho TổngHợp Meatshop","Retails","S2"
"330010M002","F_MS N. Văn Luông","Retails","S2"
"330010M003","F_MS Phan Chu Trinh","Retails","S2"
"330010M004","F_MS N. Văn Thương","Retails","S2"
"330010M005","F_MS Quốc Hương","Retails","S2"
"330010M006","F_MS Tân Hòa Đông","Retails","S2"
"330010M007","F_MS Ngô Tất Tố","Retails","S2"
"330010M008","F_MS PHạm Văn Hai","Retails","S2"
"330010M009","F_MS N. Duy Trinh","Retails","S2"
"330010M010","F_MS Độc Lập","Retails","S2"
"330010M011","F_MS Lý Phục Man","Retails","S2"
"330010M012","F_MS Bùi Văn Ba","Retails","S2"
"330010M013","F_MS TB-H. Hoa Thám","Retails","S2"
"330010M014","F_MS Trần Mai Ninh","Retails","S2"
"330010M015","F_MS Hoàng N Phách","Retails","S2"
"330010M016","F_MS Phạm Văn Chiêu","Retails","S2"
"330010M017","F_MS Bông Sao","Retails","S2"
"330010M018","F_MS Tô Hiến Thành","Retails","S2"
"330010M019","F_MS Trần Văn Quang","Retails","S2"
"330010M020","F_MS Trung Mỹ Tây","Retails","S2"
"330010M021","F_MS C.Mạng Tháng 8","Retails","S2"
"330010M022","F_MS Phạm Văn Bạch","Retails","S2"
"330010M023","F_MS Tô Ngọc Vân","Retails","S2"
"330010M024","F_MS Phạm Phú Thứ","Retails","S2"
"330010M025","F_MS Trần Nhân Tôn","Retails","S2"
"330010M026","F_MS Cây Keo","Retails","S2"
"330010M027","F_MS T. Phước Phan","Retails","S2"
"330010M028","F_MS Phước Bình","Retails","S2"
"330010M029","F_MS Hai Bà Trưng","Retails","S2"
"330010M030","F_MS Lê Đức Thọ","Retails","S2"
"330010M031","F_MS An Dương Vương","Retails","S2"
"330010M032","F_MS Nguyễn Xí","Retails","S2"
"330010M033","F_MS Bạch Vân","Retails","S2"
"330010M034","F_MS Nguyễn Thị TẦn","Retails","S2"
"330010M035","F_MS Lê Văn Sỹ","Retails","S2"
"330010M036","F_MS Lê Thạch","Retails","S2"
"330010M037","F_MS Tân Quy","Retails","S2"
"330010M038","F_MS Phổ Quang","Retails","S2"
"330010M039","F_MS N. Thị Trang","Retails","S2"
"330010M040","F_MPhan Chu Trinh BH","Retails","S2"
"330010M041","F_MPhạm Văn Thuận BH","Retails","S2"
"330010M042","F_MS Bình Triệu","Retails","S2"
"330010M043","F_MS N. Đình Chiểu","Retails","S2"
"330010M044","F_MS Xóm Củi","Retails","S2"
"330010M045","F_MS Phan Văn Trị","Retails","S2"
"330010M046","F_MS Quang Trung","Retails","S2"
"330010M047","F_M NTMinh Khai BD","Retails","S2"
"330010M048","F_MS Đinh Bộ Lĩnh BD","Retails","S2"
"330010M049","F_MS Đỗ Xuân Hợp","Retails","S2"
"330010M050","F_MS Lê Văn Lương NB","Retails","S2"
"330010M051","F_MS Huỳnh Tấn Phát","Retails","S2"
"330010M052","F_MS Lạc Long Quân","Retails","S2"
"330010M053","F_MS Nguyễn Thị Định","Retails","S2"
"330010M054","F_MS Nguyễn Sỹ Sách","Retails","S2"
"330010M055","F_MS Cống Quỳnh","Retails","S2"
"330010M056","F_MS Nguyễn Ảnh Thủ","Retails","S2"
"330010M057","F_MS Tân Phú","Retails","S2"
"330010M058","F_MSTrịnh Đình Trọng","Retails","S2"
"330010M059","F_MS Tam Bình","Retails","S2"
"330010M060","F_MS Nguyễn Huy Tự","Retails","S2"
"330010M061","F_MS Gò Xoài","Retails","S2"
"330010M062","F_MS Hà Huy Giáp","Retails","S2"
"330010M063","F_MS Trần Quý","Retails","S2"
"330010M064","F_MS Lý Thường Kiệt","Retails","S2"
"330010M065","F_MS Kha Vạn Cân","Retails","S2"
"330010M066","F_MS Trần Hữu Trang","Retails","S2"
"330010M067","F_MS Lộ Tẻ","Retails","S2"
"330010M068","F_MS Âu Cơ","Retails","S2"
"330010M069","F_MS Nguyễn Lâm","Retails","S2"
"330010M070","F_MS Sơn Kỳ","Retails","S2"
"330010M071","F_MS Lê Văn Quới","Retails","S2"
"330010M072","F_MS Long Trường","Retails","S2"
"330010M073","F_MS Trần Văn Mười","Retails","S2"
