subcat1_code,subcat1_name,subcat2_code,subcat2_name,ph5_code
01,Heo,01,Heo,001
05,Trứng,05,Trứng,004
07,SPCB,98,Others,101
07,SPCB,12,Khô,112
07,SPCB,09,Lạp xưởng,113
07,SPCB,98,Others,116
07,SPCB,06,Xúc xích tiệt trùng,119
98,Khác,98,Others,999
98,Khác,98,Others,109
98,Khác,98,Others,995
98,Khác,98,Others,998
98,Khác,98,Others,803
03,Bò,03,Bò,002
04,Thủy hải sản,04,Thủy hải sản,005
98,Khác,98,Others,124
01,Heo,01,Heo,901
07,SPCB,98,Others,102
07,SPCB,07,Giò chả,107
01,Heo,01,Heo,108
01,Heo,01,Heo,110
07,SPCB,98,Others,111
07,SPCB,08,Xúc xích thanh trùng,118
07,SPCB,98,Others,128
07,SPCB,98,Others,115
07,SPCB,98,Others,103
07,SPCB,98,Others,104
07,SPCB,98,Others,105
07,SPCB,11,Chả giò,106
07,SPCB,98,Others,114
07,SPCB,13,Đồ viên,117
07,SPCB,98,Others,123
07,SPCB,98,Others,120
06,Gà,10,Gà,003
98,Khác,98,Others,701
98,Khác,98,Others,702
98,Khác,98,Others,781
98,Khác,98,Others,799
98,Khác,98,Others,125
98,Khác,98,Others,126
98,Khác,98,Others,127
98,Khác,98,Others,801
98,Khác,98,Others,802
98,Khác,98,Others,804
98,Khác,98,Others,006
98,Khác,98,Others,996
98,Khác,98,Others,997
