legal,company_code,company_name,currency,
GFDNBAPP,1000,"Greenfeed Vietnam",VND,
GFVMMAPP,1000,"Greenfeed Vietnam",USD,
,1100,"Viet Tho Co., Ltd.",VND,
DNB2001APP,2000,"GreenFarm Asia",VND,
FASIAAPP,2000,"GreenFarm Asia",VND,
ARWHYAPP,2100,"GreenFarm Hung Yen",VND,
MTR2001APP,2200,"LinkFarm Co., Ltd.",VND,
MTR1001APP,2200,"LinkFarm Co., Ltd.",VND,
MTR2002APP,2200,"LinkFarm Co., Ltd.",VND,
ARWBLAPP,2300,"GreenFarm DakNong",VND,
BSH1001APP,2400,"Green Thai Nguyen",VND,
,3000,"Feddy Company Limite",VND,
,3100,"D&F Food Processing",VND,
,3200,"Leboucher CompanyLtd",VND,
,4000,"Quang Dung Tech.",VND,
LOG5001APP,4200,"Quang Dung Transport",VND,
,4300,"NTT Global DataCent.",VND,
CBD1001APP,5000,"GreenFeed (Cambodia)",USD,
STARNAPP,5000,"GreenFeed (Cambodia)",USD,
GFCAMAPP1,5000,"GreenFeed (Cambodia)",USD,
MYM1001APP,5100,"GreenFeed (Myanmar)",MMK,
MYM1001ADJ,5100,"GreenFeed (Myanmar)",MMK,
LAOAPP,5200,"GreenFeed (Laos)",LAK,
