"CAPTION","criterias",CODE
"ASSETS","TÀI SẢN",
"Current assets (100 = 110 + 120 + 130 + 140 + 150)","Tài sản ngắn hạn (100 = 110 + 120 + 130 + 140 + 150)",100
"Cash and cash equivalents","Tiền và các khoản tương đương tiền",110
"Cash","Tiền ",111
"Cash equivalents","Các khoản tương đương tiền",112
"Short-term financial investments","Đầu tư tài chính ngắn hạn",120
"Trading securities ","Chứng khoán kinh doanh",121
"Allowance for diminution in the value of trading securities","Dự phòng giảm giá chứng khoán kinh doanh",122
"Held-to-maturity investments","Đầu tư nắm giữ đến ngày đáo hạn",123
"Accounts receivable – short-term","Các khoản phải thu ngắn hạn",130
"Accounts receivable from customers","Phải thu ngắn hạn của khách hàng",131
"Prepayments to suppliers","Trả trước cho người bán ngắn hạn",132
"Intra-company receivables","Phải thu nội bộ ngắn hạn",133
"Receivables on construction contracts according to stages of completion","Phải thu theo tiến độ kế hoạch hợp đồng xây dựng",134
"Loans receivable","Phải thu về cho vay ngắn hạn",135
"Other receivables","Phải thu ngắn hạn khác",136
"Allowance for doubtful debts","Dự phòng các khoản phải thu ngắn hạn khó đòi",137
"Shortage of assets awaiting resolution","Tài sản thiếu chờ xử lý",139
"Inventories","Hàng tồn kho",140
"Inventories","Hàng tồn kho",141
"Allowance for inventories","Dự phòng giảm giá hàng tồn kho",149
"Other current assets","Tài sản ngắn hạn khác",150
"Short-term prepaid expenses","Chi phí trả trước ngắn hạn ",151
"Deductible value added tax","Thuế giá trị gia tăng được khấu trừ",152
"Taxes and other receivables from State Treasury","Thuế và các khoản khác phải thu Nhà nước ",153
"Government bonds under purchase and resale agreements","Giao dịch mua bán lại trái phiếu Chính phủ",154
"Other current assets","Tài sản ngắn hạn khác",155
"Long-term assets (200 = 210 + 220 + 230 + 240 + 250 + 260)","Tài sản dài hạn (200 = 210 + 220 + 230 + 240 + 250 + 260)",200
"Accounts receivable – long-term","Các khoản phải thu dài hạn",210
"Accounts receivable from customers – long-term","Phải thu dài hạn của khách hàng",211
"Prepayments to suppliers – long-term","Trả trước cho người bán dài hạn",212
"Operating capital allocated to subordinated units","Vốn kinh doanh ở đơn vị trực thuộc",213
"Intra-company long-term receivables","Phải thu nội bộ dài hạn",214
"Loans receivable – long-term","Phải thu về cho vay dài hạn",215
"Other long-term receivables","Phải thu dài hạn khác",216
"Allowance for doubtful long-term debts","Dự phòng phải thu dài hạn khó đòi",219
"Fixed assets","Tài sản cố định ()",220
"Tangible fixed assets","Tài sản cố định hữu hình",221
"Cost","Nguyên giá",222
"Accumulated depreciation","Giá trị hao mòn lũy kế",223
"Finance lease tangible fixed assets","Tài sản cố định hữu hình thuê tài chính",224
"Cost","Nguyên giá",225
"Accumulated depreciation","Giá trị hao mòn lũy kế",226
"Intangible fixed assets","Tài sản cố định vô hình",227
"Cost","Nguyên giá",228
