code,criterias,caption
1,"Doanh thu bán hàng và cung cấp dịch vụ","Revenue from sales of goods and provision of services"
2,"Các khoản giảm trừ doanh thu","Revenue deductions"
10,"Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02)","Net revenue (10 = 01 - 02)"
11,"Giá vốn hàng bán","Cost of sales"
20,"Lợi nhuận/(lỗ) gộp (20 = 10 - 11)","Gross profit/(loss) (20 = 10 - 11)"
21,"Doanh thu hoạt động tài chính","Financial income"
22,"Chi phí tài chính","Financial expenses"
23,"Trong đó: Chi phí lãi vay","In which: Interest expense"
24,"Phần lãi hoặc lỗ trong công ty liên doanh, liên kết","Share of profit/(loss) in associates and jointly controlled entities"
25,"Chi phí bán hàng","Selling expenses"
26,"Chi phí quản lý doanh nghiệp","General and administration expenses"
30,"Lợi nhuận/(lỗ) thuần từ hoạt động kinh doanh {30 = 20 + (21 - 22) + 24 - (25 + 26)}","Net operating profit/(loss) {30 = 20 + (21 - 22) + 24 - (25 + 26)}"
31,"Thu nhập khác","Other income"
32,"Chi phí khác","Other expenses"
40,"Lợi nhuận/(lỗ) khác (40 = 31 - 32)","Results of other activities (40 = 31 - 32)"
50,"Lợi nhuận/(lỗ) kế toán trước thuế (50 = 30 + 40)","Accounting profit/(loss) before tax (50 = 30 + 40)"
51,"Chi phí thuế TNDN hiện hành","Income tax expense – current"
52,"Chi phí/(lợi ích) thuế TNDN hoãn lại","Income tax expense/(benefit) – deferred"
60,"Lợi nhuận/(lỗ) sau thuế TNDN (60 = 50 - 51 - 52)","Net profit/(loss) after tax (60 = 50 - 51 - 52)"
61,"Lợi nhuận sau thuế của công ty mẹ","Equity holders of the Company"
62,"Lợi nhuận sau thuế của cổ đông không kiểm soát","Non-controlling interest"
70,"Lãi cơ bản trên cổ phiếu","Basic earnings per share"
71,"Lãi suy giảm trên cổ phiếu","Diluted earnings per share"
