code,gl_account_from,gl_account_to,excluded
1,0051100000,0051199999,
2,0052100000,0052199999,
11,0060010000,0060010000,
11,0060020000,0060020000,
11,0060030000,0060030000,
11,0060040000,0060040000,
11,0062100000,0062199999,
11,0062200000,0062299999,
11,0062700000,0062799999,
11,0063200000,0063299999,
21,0051532000,0051532000,exclude
21,0051500000,0051599999,
22,0063500000,0063599999,
22,0063511000,0063511000,exclude
22,0063512000,0063512000,exclude
23,0063511000,0063511000,
23,0063512000,0063512000,
25,0064100000,0064199999,
26,0064200000,0064299999,
31,0071100000,0071199999,
32,0081100000,0081199999,
51,0082110000,0082110000,
52,0082120000,0082120000,
