team,team_name,region,industry
CNTT1_MN,CNTT1-M.Nam,SOUTH,CNTT
CNTT2_MN,CNTT2-M.Nam,SOUTH,CNTT
CNTT3_MN,CNTT3-M.Nam,SOUTH,CNTT
CNTT4_MN,CNTT4-M.Nam,SOUTH,CNTT
CNTT1_MB,CNTT1-M.Bắc,NORTH,CNTT
CNTT2_MB,CNTT2-M.Bắc,NORTH,CNTT
CNTT3_MB,CNTT3-M.Bắc,NORTH,CNTT
ANGS_MN,ANGS-M.Nam,SOUTH,ANGS
ANGS_MB,ANGS-M.Bắc,NORTH,ANGS
TELCO_MN,TELCO-M.Nam,SOUTH,TELCO
TELCO_MB,TELCO-M.Bắc,NORTH,TELCO
KT_MN,Kế Toán,SOUTH,KE_TOAN
KHO_MN,Kho,SOUTH,KHO
ADMIN_TELCO_MN,Admin Telco MN,SOUTH,ADMIN_TELCO
ADMIN_CNTT,Admin CNTT,SOUTH,CNTT
ADMIN_ANGS_MB,Admin ANGS,NORTH,ANGS
